rid,scenario,choice,gender,age,education,employment,income,car_own,moto_own,bike_own,escooter_own,car_frequency,bike_frequency,escooter_frequency,PT_frequency,metro_frequency,carpsafe,ebikepsafe,escootpsafe,walkpsafe,intchoice,binchoice1,binchoice2,binchoice3,binchoice4,cartime,carcost,ebiketime,ebikecost,escoottime,escootcost,walktime
101,scenario11,walk,0,3,4,3,3,1,0,1,1,3,2,1,3,4,6,2,2,5,1,0,0,0,1,40,5,5,4.5,6,0.5,20
102,scenario11,ebike,1,2,4,2,0,0,0,1,0,1,2,1,1,4,4,3,1,3,3,0,1,0,0,40,5,5,4.5,6,0.5,20
